,Principal Component 1,Principal Component 2
612,-156.62022695732674,-45.523657283416625
613,-243.87909570309773,-60.47363046061199
614,49.03100413130082,-35.444213528444145
615,-228.57740257551245,-57.456223497651415
616,1175.3907563049395,263.1022891526607
617,39.67176780859072,-22.85080885833207
618,-232.90755827531805,-61.12186718916908
619,-177.36388653963004,-56.31972781307336
620,-228.68129197471396,-63.0658687017656
621,-217.08946247166756,-62.72241536849705
622,-95.92472215050097,-31.467426068852216
623,-160.82558358984795,-55.10120354722362
624,-12.909344965854412,-23.39653530008336
625,-151.9995106103237,-48.99835980214153
626,-193.7370411470496,-58.25871085506193
627,-203.6705328064205,-55.33067140920292
628,-236.02619821662904,-60.15591642371761
629,-246.23619604428166,-58.2691122103299
630,-86.51619392221966,-56.62602972981439
631,-108.1302751438886,-28.65590161057598
632,-67.03134198450186,-43.287255984767185
633,-217.44737062006377,-58.22810885678048
634,-237.39257045310623,-60.69387850904628
635,-186.0018445717629,-66.24173310612383
636,-218.72056478452728,-63.64856280155402
637,-75.26559652217385,-44.42104053711147
638,2166.1219342738095,45.36797415150317
639,142.6726949567166,-100.03071337011778
640,-207.52698848834652,-67.03583902528135
641,-237.29714152279286,-43.72889756307865
642,-177.37998823452025,-49.943114213898404
643,-221.21786408208314,-59.13254344884442
644,-227.7748046496047,-59.00097349315205
645,-135.5160694496104,-47.13547483655777
646,-60.46874376988464,-3.013666107238897
647,-134.3063266916857,-32.9929874879733
648,-207.795125691219,-54.752956938467385
649,-244.92870926747665,-59.96440176939364
650,-189.49792240366958,-61.244409732761035
651,-213.0354483359248,-53.51864685059202
652,-181.23572704892436,-51.146684116573304
653,-235.55788406270577,-61.03318040708213
654,-199.22500839929103,-57.418948313107684
655,411.32022087602473,28.464588033514634
656,-1.6469006751452817,57.33288314333124
657,629.502501555672,2.6936506279909893
658,-234.61397741343436,-60.57404249825783
659,268.8347940843264,16.562893710629876
660,-240.91047681643386,-58.94834469986378
661,-164.14391953769638,-55.18501177519872
662,-185.38011889496852,-44.696546735767996
663,-246.01135025192588,-58.93376270848169
664,272.8359685607334,-21.344210871351507
665,10.02248674574529,-47.087947791463705
666,-69.69866500818398,-68.46770264220147
667,-25.60625625832229,-14.102766470014085
668,-248.84793982993224,-59.50666203340793
669,-204.55711732854658,-57.62889926224577
670,-14.41563707496185,-14.400582411181787
671,199.79810280157213,-53.553269091691064
672,-134.80798918921224,-48.43713008407387
673,-187.58555656148314,-38.09315570820478
674,-239.4792560801061,-59.79467712682168
675,-237.10513807871257,-57.430276014122335
676,-84.90689591219594,-38.202625592663246
677,-184.24936332310142,-52.92327441554781
678,-34.45859035463334,-28.91511617502852
679,361.53471383233256,71.36208214329035
680,-249.5216384102295,-57.535753310632444
681,-49.881942193077485,-57.225200569469145
682,-174.43855046303403,-46.57064510209523
683,-110.20903909517217,-3.2618854424193993
684,-98.38707475011304,7.326710078993585
685,-240.23762348811167,-60.74670774536258
686,-232.66256882534586,-50.82325919918478
687,-242.32110663232183,-59.852617927441486
688,-91.4386815349538,-51.143360925993946
689,278.46134112053613,29.835410931831493
690,-233.23348199214115,-60.36257878042068
691,-233.26263526112925,-55.954239465214485
692,-226.42244238133952,-44.330499788819054
693,-240.6317782664379,-60.74359849897502
694,-234.3789487058465,-60.516815623256065
695,-197.66081696848568,-44.474048265372055
696,-226.81465983916186,-58.38812120347224
697,-241.4710940762504,-59.126166779808244
698,-235.73383583334945,-60.844145818601454
699,-239.8282742001989,-42.261185368212
700,60.4751835629875,2.69830737898675
701,-197.37292085995162,-47.844862856557626
702,-241.40262183954545,-47.11534995216891
703,67.05239976113363,29.025368577075277
704,-240.340695675034,-45.427664086941085
705,-156.66447652394461,-19.582174056945927
